Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD)
Kabbage,http://www.kabbage.com/,5,Consumer,16,B2C P2P,"Kabbage is a financial technology and data company pioneering a new, automated way for small businesses to access working capital. The company simplifies the manual application process to one that is 100% online and automated. Businesses can use their business data to submit an application online and receive an answer in minutes instead of waiting weeks and filling out numerous forms like traditional lending methods. Businesses can access ongoing lines of credit up to $250,000. Kabbage leverages business data generated such as revenue, accounting data, business transactions, shipping data, social media and other sources to understand a businessâ€™s overall health and calculate credit lines throughout the customer lifecycle. The company began serving online merchants in 2011 and extended its automated lending platform to all small businesses â€“ online and brick-and-mortar â€“ in February 2014. In November 2013, Kabbage expanded its business to mobile with an iOS and Android app that enables users to apply or access their funds from their smartphones. Kabbage used to provide a consumer lending product, Karrot, but it is no longer available. Kabbage expanded the application of its platform in March 2015 by licensing the data and technology platform to power lending for other organizations. The company was named one of Forbes magazineâ€™s Most Promising Companies list for the second year in a row. Kabbage further extended its lending reach in May 2015 with the announcement of the new Kabbage Card, which gives businesses the ability to pay for items at the point of sale with a purchasing card tied to their Kabbage account. Kabbage also collaborated with MasterCard in May 2015 to make Kabbageâ€™s data and technology platform available through MasterCardâ€™s network of acquirers. In August 2015, Kabbage was named the 36th fastest-growing private company in America on the Inc. 500 list. In October 2015, Kabbage completed a Series E funding round of $135 million led by Reverence Capital Partners. Hollandâ€™s ING, Spainâ€™s Santander (via InnoVentures, Santander's venture capital arm); and Canadaâ€™s Scotiabank also participated in the round. Kabbage also announced a strategic partnership with ING to deliver instant capital to small businesses throughout Spain. In June 2016, Kabbage was named to CNBC's annual Disruptor 50 list of the most forward-thinking and ambitious companies that are revolutionizing industries and markets worldwide. Two months later, Kabbage was named to the Inc. 500 list of the country's fastest-growing private companies for the second year in a row In August 2016, Kroll Bond Rating Agency (KBRA) upgraded and affirmed ratings on Class A2-2 Certificates issued by Kabbage Funding 2014-1 Resecurization Trust. The certificates were upgraded from BBB+(sf) to A-(sf) based on structural improvements to the transactionâ€™s concentration requirements and the existence of more historical data relating to Kabbageâ€™s collateral. KBRA also affirmed the ratings on the Class B2A Certificates of BB-(sf), Class B2B Certificates of BB-(sf) and Class B2C Certificates of B+(sf), which were initially rated in November 2015. In 2017, the company raised $250 million from Softbank Group Corp., raising its total equity funding to $500 million, making Kabbage one of the most well-funded companies with a female co-founder at the helm. It also secured the largest asset-backed securitizations of small business loans in the online lending industry of $525 million. In November, it diversified its debt-funding sources further with a $200 million revolving credit facility with Credit Suisse, earning investment-grade ratings of â€˜Aâ€™ and â€˜BBBâ€™ by DBRS. It ranked on the Inc. 500 list as one of the countryâ€™s fasting-growing private companies for a third consecutive year, on Deloitteâ€™s Fast 500 list, among CB Insights Fintech 250, in the top 10 of KPMGâ€™s Fiintech 100, and its co-founder, Kathryn Petralia, was named one of Forbes 100 Most Powerful Women in the World.","Atlanta, Georgia, United States",2008,Series F,2019,488650000,200000000
TruMid,https://www.trumid.com/,2,Liquidity,6,"FI, FX & EQ marketplaces","TruMid is a trading platform focused on fixed income securities and corporate bonds. It a cloud-based platform using AWS for trading activities. Allows users to select orders, execute trades based on current prices, and manage workflows, and access insights using data science APIs and algorithms. The application can be accessed on Windows devices.",USA,2014,Series E,2020,505000000,200000000
Carta,https://carta.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","Carta provides equity management solutions for businesses. It features solutions for cap table management, valuation, equity planning, transfer agents, electronic securities, scenario modeling, fund administration, portfolio data collection, and more. It offers solutions to multiple sectors including private companies, investors, and public companies. Its app is available for both Android and IOS devices.",USA,2012,Series E,2020,658000000,210000000
Curv,curv.co,3,De/manage-risk,10,"Crypto-Security, and blockchain custody","Curv provides a cloud-based Institutional Digital Asset Wallet Service, giving customers control, security, and liquidity.",United States,2018,Series A,2020,29500000,23000000
PeerStreet,peerstreet.com,5,Consumer,16,B2C P2P,"PeerStreet is an investment platform focused on democratizing access to real estate debt. The company provides investments in short term, real estate backed loans. PeerStreet allows investors to diversify their capital in an asset class that has been traditionally difficult to access. Loans are sourced and curated from vetted private lenders throughout the United States who have real estate knowledge and borrower relationships. The model allows for more borrowers to access capital and improve their local communities, one house at a time.",United States,2013,Loan,2020,125960000,3500000
AlphaPoint,alphapoint.com,2,Liquidity,5,Digital & Tokenized Assets,AlphaPoint enables businesses to integrate with the fabric of digital currencies including Bitcoin.,United States,2013,Loan,2020,23470000,1500000
Finxact,finxact.com,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e",Finxact is developing an enterprise-class public cloud/private data Core-as-a-Service platform with a completely open banking API. The Finxact Core will allow banks to deliver new services for omnichannel consumers.,United States,2016,Loan,2020,43500000,1500000
Collibra,collibra.com,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Collibra is the Data Intelligence company. The company accelerates trusted business outcomes by connecting the right data, insights, and algorithms to all Data Citizens. The cloud-based platform connects IT and the business to build a data-driven culture for the digital enterprise.",United States,2008,Series F,2020,345900000,112500000
MoneyFarm,moneyfarm.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","MoneyFarm operates as an online personal banker offering a free portfolio of investments based on user's profile and goals. The company creates profiles based on a customer's investment target and risk propensity. A team continuously monitors the investment state and provides recommendations, if needed, to rebalance portfolio according to market trends.",United Kingdom,2011,Series C,2019,122280000,44000000
TERA FUNDING,terafunding.com,5,Consumer,16,B2C P2P,TERA FUNDING is a real estate P2P financial company that offers an online platform for small investors to provide first-tier small and medium-sized construction loans to businesses.,South Korea,2014,Series B,2019,28570000,18160000
Blender,blender.global,5,Consumer,16,B2C P2P,Blender is a peer-to-peer lending platform that provides cross-border lending services.,Israel,2014,Series C,2019,43000000,5000000
Technisys,technisys.net,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data",Technisys is a digital banking technology company that helps financial institutions go digital.,Argentina,1995,Series C,2019,64000000,50000000
Tigerobo,tigerobo.com,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Tigerobo is an intelligent financial search company, which aims to enable easier access to financial knowledge. Based on deep learning, natural language processing (NLP) and other cutting-edge technologies. Tigerobo mines valuable information and data of the international financial market and provides dynamic automatic analysis, and interprets and summarizes information. It frees organizations and individuals around the world who are focused on the capital market from tedious and repetitive tasks, and enables them to concentrate their energies on more creative work.",China,2017,Series A,2019,48300000,33000000
Tagomi,tagomi.com,2,Liquidity,5,Digital & Tokenized Assets,"Tagomi is an electronic brokerage for digital assets, combining institutional-grade services with proven infrastructure that clients have come to expect in other institutional asset classes. Tagomi provides access to best-priced liquidity, low commissions, and maximized client returns, helping usher in transparency in otherwise opaque markets.On May 27, 2020 Tagomi was acquired by Coinbase. The terms of the transaction were not disclosed.",United States,2018,Series A - II,2019,28000000,12000000
College Ave Student Loans,collegeavestudentloans.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data",College Ave Student Loans is an online marketplace lender with a sole focus on private student loans. The company is using technology and a deep industry expertise to connect families who need to cover education costs with lenders who can provide that funding.,United States,2014,Line of Credit,2019,115000000,65000000
QOMPLX,qomplx.com,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","QOMPLX makes it faster and easier for organizations to integrate all of the disparate data sources across the enterprise into a unified analytics infrastructure to make better decisions at scale. This broader analytics infrastructure is provided through QOMPLX OS, an enterprise operating system that powers QOMPLX's decision platforms in cybersecurity, insurance, and quantitative finance.",United States,2015,Series A,2019,94790000,78600000
Personal Capital,personalcapital.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Personal Capital is an online financial advisor and personal wealth management company. Personal Capital offers a digital wealth management service that combines a free financial dashboard to gather and analyze financial data, with a financial advisor to help manage investments.On June 29th, 2020, Personal Capital was acquired by Empower Retirement at a valuation between $825 and $1000M.",United States,2009,Series F,2019,312020000,50000000
Loanboox,loanboox.com,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing",Loanboox is an independent debt capital market platform that connects large corporations and public sector borrowers with institutional investors and banks.,Switzerland,2015,Series B,2019,28820000,22820000
PeerIQ,peeriq.com,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"PeerIQ is a financial information services company that provides institutional investors with tools for analyzing, accessing, and managing risk in the peer-to-peer lending market. PeerIQ's analytics platform aggregates industry data from leading P2P platforms and offers sophisticated credit analytics and independent benchmarks to enhance efficiency and increase liquidity across this emerging asset class.",United States,2014,Series A,2017,20500000,12000000
